Name a yellow fruit,0003,Banana/Banna/Bannana/Bananna/Bannan/Banan/Bannna/Bana/Bannanna/Bnana/Bannah/Plantain,41,Lemon/Lemmon/Lemen/Limon/Lenon/Lemin,23,Pineapple/Pinapple/Pinaple/Pinnaple/Pinnapple/Pineaple,12,Mango/Mago,9,Apple/Yellow apple/Golden apple/Applei,9,Pear/Pair,6,Orange,0,Peach/Peaches,0,Squash,0,Starfruit,0,Melon/Cantalope/Cantaloupe/Cantelope,0,Grape,0,Papaya,0,Grapefruit,0,Pepper,0,Kiwi,0,Corn,0,Dragon Fruit,0,Watermelon,0,Apricot,0,Guava,0,Jackfruit,0,,,,,,
Name a superhero,0002,Superman/Supperman,26,Batman,23,Spider-Man/Spiterman/Spoderman/Soiderman,19,Iron Man/Iorn man,12,Hulk/Halk/Holk/The hulk,10,Wonder Woman/Wonder women,10,Captain America/Captin america/Captian america,0,Flash/The flash,0,Thor/Thir,0,Supergirl,0,Superwoman/Superwomen,0,Black Panther,0,Black Widow,0,Robin,0,Aquaman,0,Catwoman/Catwomen,0,Ant-Man,0,Green Lantern,0,Joker,0,Batgirl,0,Wolverine,0,Deadpool,0,Captain Marvel,0,,,,
Name a sport,0055,Football/Footbal/Footballi,23,Soccer/Soccor/Socer/Socker/Soccer ball/Soccar/Socceri/Socor/Soker,23,Basketball/Baskitball/Baskball/Badketball/Basketbal/Bascketball,21,Baseball/Basball/Baceball/Bassball,18,Tennis/Tenis,10,Volleyball/Vollyball,5,Hockey/Hocky/Hokey/Ice hockey,0,Golf/Gold,0,Softball,0,Swimming/Swim/Swiming,0,Lacrosse/Lacross/Lacrose,0,Track/Running,0,Cheerleading/Cheer,0,Gymnastics,0,Dance,0,Rugby,0,Cricket,0,Wrestling,0,Boxing,0,Bowling,0,,,,,,,,,,
Name a breakfast beverage,0070,Orange Juice/Juice/Oj/Orange jucie/Orange/Orange juce/Jucie/Orang juice/Orange juicei/Ornage juice,30,Coffee/Coffe/Coffie/Cofee/Coffeei,23,Apple Juice/Apple/Apple jucie/Apple juce,15,Water/Wateri,14,Milk,10,Tea/Ice tea/Sweet tea/Iced tea,8,Chocolate Milk/Hot chocolate/Choclate milk/Hot coco/Hot cocoa/Chocolate/Hot choclate/Coco,0,Soda/Coke/Pop/Sprite/Pepsi,0,Smoothie/Smothie,0,Lemonade,0,Grape Juice/Grapefruit juice/Grape,0,Cranberry Juice/Cranberry,0,Milkshake/Shake,0,Latte,0,Strawberry Milk,0,Pineapple Juice,0,Almond Milk,0,Fruit Punch,0,,,,,,,,,,,,,,
Name a fast-food brand,0001,McDonald's/Mcdonals/Macdonalds/Mcdonlds/Donalds/Mcdonaldsi,32,Burger King/Buger king/Burger,19,Wendy's/Wendeys,18,Taco Bell/Toco bell/Toca bell,17,Chick-Fil-A/Chic fil a/Chick fa la/Chik fil a/Chickfla,9,Popeyes/Popeys/Popyes,5,Arby's,0,Subway,0,KFC,0,Sonic,0,In-N-Out/In and out,0,Pizza Hut,0,Dairy Queen/Dq,0,Jack In The Box,0,Starbucks,0,Chipotle,0,Hardee’s,0,Whataburger,0,Chequers,0,Cane's,0,Dunkin’ Donuts/Dunkin,0,Panda Express,0,Domino’s,0,Denny's,0,Del Taco,0
Name a type of transport,0049,Car/Limo/Cari/Jeep,29,Plane/Airplane/Jet/Plain/Plan/Airport/Airplain/Airplan/Fly/Air,22,Bus/Busi/Buss/School bus/Bud,20,Bike/Bicycle/Buke/Bile/Bikei,13,Train/Wagon/Trian,10,Boat/Ship/Ferry/Bout,6,Taxi/Uber/Cab/Taci,0,Walk/Walking/Run/Feet/Foot/Running,0,Truck/Van,0,Subway/Metro/Sub,0,Helicopter/Helecopter/Helacopter/Helocopter,0,Scooter/Scotter,0,Motorcycle/Motercycle,0,Skateboard,0,Horse,0,Skates,0,Trolly/Trolley,0,Tram,0,Submarine,0,,,,,,,,,,,,
Name a sportswear brand,0072,Nike/Niki/Nikey/Nikei/Air force/Niky/Nick/Nuke,44,Under Armour/Under armour/Underarmer/Under amor/Under amour/Under armoir/Under,14,Adidas/Addidas/Addias/Adias/Addis,14,Puma/Pumba,11,Jordan/Jorden,11,Champion/Champs,6,Reebok/Rebok/Rebook/Reebook/Reebox/Rebox,0,Vans/Vand,0,Dick's,0,Fila,0,Sketchers/Skechers,0,New Balance,0,Gucci,0,Converse/Convers,0,Lululemon,0,Polo,0,Asics,0,Pink,0,Crocs,0,North Face,0,,,,,,,,,,
Name something you never leave home without,0071,Phone/Phine/Phonei/Iphone/Cell phone,27,Keys/Car keys/Keysi,23,Clothes/Jacket/Hat/Pants/Coat/Shirt/Cloths/Socks/Close/Underwear,14,Money/Card/Credit card/Cash,13,Bag/Purse/Backpack/Purs/Pirse,13,Shoes,10,Wallet/Walet,0,Car,0,Kids/Child/Baby,0,Food/Snack,0,Water/Drink/Coffee,0,Glasses/Sunglasses,0,Mask,0,ID,0,Charger,0,Ipad/Tablet/Laptop,0,Pet/Dog/Cat,0,Makeup/Chapstick/Lipstick,0,Family/Mom/Wife,0,Watch,0,,,,,,,,,,
Name somewhere you can swim,0056,Pool/Swimming pool/Cool/Public pool/Poll/Indoor pool/Swiming pool/Pooli/Poop/A pool/Poo,27,Ocean/Beach/Sea/Ocen/Ovean/Ocan/Bech/The beach,26,River/Stream/Riveri/Ricer/Rover,14,Pond/Puddle/Pound/Lakei/Pondi/Pind/Pomd,12,Lake,12,Bath/Tub/Shower/Bathtub/Sink,9,Hot Tub/Jacuzzi/Hot tube/Hotub,0,Water Park/Park,0,Creek/Creak,0,Swamp,0,Bay/Lagoon,0,Waterfall,0,,,,,,,,,,,,,,,,,,,,,,,,,,
What can you find in a pencil case?,0054,Pencil/Pencile/Penicl/Pencel/Pencle/Pecil/Pencial,28,Marker/Highlighter/Maker/Market/Highliter,21,Eraser/Earaser/Earser/Eracer/Easer/Erase,21,Crayons/Colored pencils/Color pencils/Colors,12,Pen,11,Sharpener/Sharpie/Pencil sharpener/Sharpner/Sharper,7,Glue/Gum/Glue stick,0,Scissors/Siccors/Sissors,0,Paper/Notes,0,Lead/Led,0,Ruler,0,Tape,0,Stapler/Staples,0,White-Out,0,Paper Clip,0,Calculator,0,Sticky Notes,0,,,,,,,,,,,,,,,,
Name a friend of Mickey Mouse,0073,Goofy/Goffy/Goody/Goofey/Goofie/Gofy/Guffy/Goof/Goofe/Goofyi/Googy/Goffey,25,Donald Duck/Donald/Duck/Donld/Donold/Donal/Donaldi/Dinald/Ronald/Donld duck/Donlad/Donold duck/Doneld/Donal duck,24,Pluto/Dog/Pludo/Ploto/Pulto/Plodo/Poodle/Ploodo/Puto/The dog,18,Minnie Mouse/Minnie/Mini/Miney/Minne/Minny/Minney/Miny/Mini mouse/Minie/Miney mouse/Minni/Minny mouse/Minne mouse/Mine/Miny mouse,16,Daisy Duck/Daisy/Dasiy/Daisey/Dasy/Dasie,15,Pete,2,Clarabelle/Cow,0,Chip & Dale/Chip/Dale,0,Toodles/Tootles,0,Daphne,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What can you do on your smartphone?,0045,Call/Talk/Chat/Call people,27,Text/Message,25,Games/Play games/Play/Roblox,20,Videos/Watch/Youtube/Movies/Watch videos/Tv/Netflix/Watch youtube/Watch tv/Watch movies,10,Social Media/Tiktok/Facebook/Snapchat/Instagram/Snap/Post/Social,9,Photos/Pictures/Take pictures/Camera/Pic/Take photos,9,Video Chat/Facetime,0,Internet/Search/Google/Web,0,Music/Listen/Listen to music,0,Email,0,Work/Learn/School/Math,0,Buy/Shop/Order/Order food,0,Write/Notes/Type,0,Read,0,Time/Alarm,0,Maps,0,Record,0,Download,0,Calculator,0,Draw,0,,,,,,,,,,
Name a social media platform,0087,Facebook/Messenger/Face/Messages/Favebook/Messanger/Facebooki/Facbook,24,Instagram/Insta/Instgram/Ig/Instergram/Intagram/Inst/Insagram/Istagram/I Instagram,22,Snapchat/Snap,22,Twitter/Twiter/Teitter/Twitteri/Tweeter/Twiiter/Twotter,18,TikTok/Tick-tock/Tictok/Musical.Ly/Musicly,7,YouTube/Yourube,7,MySpace,0,Pinterest/Pintrest,0,Tinder,0,Likee/Like/Likey,0,WhatsApp,0,Reddit,0,Kik,0,Tumblr,0,Vine,0,Discord,0,Yolo/Yubo,0,Linkedin,0,Dubsmash,0,,,,,,,,,,,,
Name a Disney princess,0004,Cinderella/Cinderalla/Cindarella/Conderella/Cinder/Cinderlla/Cinderela/Cindrella/Cinderellai/Cinderall/Cinderrella/Cinderalle,22,Anna/Ana/Ona/Annai,21,Belle/Bell/Bella/Beauty/Beauty and the beast,20,Snow White/Snow/Snowhite,15,Ariel/Arial/Aerial/Areil/Little mermaid/Areal/Mermaid/Aril/Arel,13,Aurora/Sleeping beauty/Arora/Aroura/Sleeping beuty/Sleeping/Auroa/Aura/Sleeping buety/Sleeping beaty/Arura,9,Tiana/Tina/Tianna/Princess and the frog/Frog,0,Jasmine/Jasmin/Jazmine,0,Elsa/Frozen,0,Rapunzel/Repunzel/Tangled/Repunzle/Tangle/Repunzal/Rupunzel/Rapinzel,0,Moana/Mona/Onna,0,Mulan,0,Merida/Brave,0,Tinker Bell,0,Pocahontas,0,Sofia/Sophia,0,,,,,,,,,,,,,,,,,,
Name a musical instrument,0060,Trumpet/Tuba/Trumpit/Horn/Trump/French horn/Trupet/Trumpeti/Trunpet,21,Drums/Druns/Drims,21,Guitar/Gutar/Gitar/Gutair/Gatar/Gutiar/Guiter/Getar/Guitari/Electric guitar,20,Flute/Flut/Flutei/Flite/Flu/Floot,15,Violin/Cello/Viola/Violen/Chello/Violine/Vilon/Chelo/Violent/Vialin,14,Piano/Piana/Paino/Pino,9,Saxophone/Sax/Saxaphone/Saxiphone,0,Clarinet/Claranet/Clarenet,0,Trombone/Trumbone/Trumbon,0,Bass/Base,0,Harp,0,Triangle,0,Banjo/Bango,0,Ukulele/Ukelele,0,Xylophone,0,Harmonica,0,Bell,0,Oboe,0,,,,,,,,,,,,,,
Name something millionaires buy just for fun,0000,Cars/Trucks/Cara/Lambo,27,House/Mansion/Homes/Buildings,25,Clothes/Gucci/Cloths/Pants/Clothing/Clothesi,20,Shoes,12,Plane/Jet/Airplane,9,Phones,7,Jewelry/Jewlery/Gold/Jewerly/Rings/Diamonds/Jewlry/Chains,0,Bags/Purses/Wallet,0,Food,0,Boats/Yacht/Ship,0,Games/Toys,0,Animals/Pets/Dogs,0,Watches/Watch,0,Electronics/Ipad/Computer/Laptop,0,Land/Island,0,TV,0,Pool,0,Vacation,0,Makeup,0,Helicopter,0,Hair,0,,,,,,,,
