Назовите желтый фрукт,0003,Банан,30,Лимон,29,Яблоко/яблака,15,Ананас/анас,11,Манго,9,Дыня,6,Груша,0,Персик,0,Абрикос/обрикос,0,Помело/памело/памела/помела/помелло,0,Слива,0,Папайя/папая/папайа,0,Маракуйя/маракуя/маракуйа,0,Грейпфрут/грейфрут/грейфрукт/грейпфрукт,0,Айва,0,Виноград,0,Алыча,0,Хурма,0,,,,,,,,
Назовите супергероя,0002,Человек-паук/спайдермен/паук/спайдермэн/суперпаук,32,Бэтмен/бетман,22,Супермен,18,Халк,14,Железный человек/железный/тонистарк,9,Тор,5,Капитан америка/америка/капитан/человекамерика,0,Флэш/флеш,0,Леди баг/суперкошка/ледибак/ледикошка,0,Танос/танас,0,Чудо-женщина/суперженщина,0,Женщина-кошка/кошка,0,Дэдпул/дедпул/детпул/дэтпул,0,Человек-муравей/человекмуровей/муравей,0,Черная вдова/вдова,0,Супер-кот,0,Локи,0,Аквамен,0,Джокер,0,Черная пантера/пантера,0,,,,
Назовите напиток к завтраку,0070,Чай/чац/чяй/ча/чайсмолоком/сай/липтон/чаи/чвй/чпй/чайслимоном/зеленыйчай,27,Кофе/кава/кофесмолоком,22,Сок/яблочныйсок/апельсиновыйсок/фреш/сое/мок/срк/соу/слк,21,Вода,12,Какао/горячийшоколад/несквик/шоколад,10,Молоко,8,Лимонад,0,Газировка/кола/кокакола/пепси/фанта/спрайт/кококола,0,Коктель/коктейль/кактель/милкшейк/молочныйкоктель/коктейл/коктелъ,0,Кефир,0,Компот,0,Смузи,0,Капучино,0,Пиво,0,Морс,0,Кисель,0,Латте/лате,0,Цикорий,0,Вино,0,Квас,0,,,,
Назовите вид транспорта,0049,Машина/автомобиль/авто/ламба/бмв/гелик/мерседес/лимузин/джип/лада/ламборгини/легковой/автомобилъ/автомабиль,33,Самокат/самакат,20,Автобус,13,Трамвай,12,Велосипед/велик/велек,12,Троллейбус/тролейбус/тралейбус/тралебус/траллейбус/тролебус/трайлебус/трайлейбус/тройлебус/тролейъус,10,Поезд/электричка/електричка,0,Такси,0,Метро,0,Мотоцикл/мотоцыкл/байк/мото/матоцикл/мотоцикол/матацикл/мотацикл,0,Маршрутка/маршутка/маршруька,0,Вертолет/верталет,0,Ролики,0,Скейт/скейтборд,0,Грузовик/камаз/грузавик/фура,0,Лодка/корабль/катер/яхта/пароход,0,Трактор,0,Мопед/скутер/мапед,0,Ноги/бег/пешком,0,Газель,0,,,,
Назовите то$ без чего вы никогда не выходите из дома,0071,Телефон,29,Ключи/ключей,17,Обувь/ботинки/сапоги/кросовки/батинки/тапки/красовки/тапочки/туфли/кроссовки,17,Сумка/рюкзак/портфель,15,Одежда/куртка/трусы/штаны/носки/вещи/кофта/футболка/майка/шарф/куртки,12,Деньги/карта/денег,10,Головной убор/шапка/кепка/шляпа,0,Кошелек/бумажник,0,Документы/паспорт,0,Вода,0,Еда,0,Наушники,0,Зонт/зонтик,0,Маска,0,Косметика/помада,0,Часы,0,Зарядка,0,Машина,0,Макияж,0,Салфетки,0,,,,
Назовите места для плавания,0056,Море/пляж/плчж/черноеморе/пляш,27,Бассейн/бассен/босеен/босеин/басик,23,Река/рекп/волга,19,Озеро/байкал,15,Ванна/душ/ваная,10,Океан/акиан,6,Пруд/ставок/став,0,Лужа/луда,0,Аквапарк/аквопарк/парк,0,Болото/балото/болота,0,Водоем/водоём/водаем/водоеи,0,Баня/сауна/банч,0,Джакузи,0,Ручей,0,Водопад,0,Канава,0,Фонтан/фантан,0,Канал,0,Залив,0,Водохранилище,0,,,,
Что может лежать в пенале?,0054,Карандаш/каран/оливец/оливець/простойкарандаш,28,Ластик/гумка/ласьтк/резинка/ризинка/стерка/стиралка/стирательнаярезинка/стирачка/стирашка,25,Ручка,19,Линейка,16,Точилка/страгалка/строгалка/стружилка,7,Фломастер/выделитель/маркер/маркеры/текстовыделитель,5,Корректор/замазка/замаска/каректор/коректор,0,Циркуль,0,Ножницы/ножнецы/ножници/ножнтцы,0,Клей,0,Шпаргалка/шпаргалки/шпора/шпоргалка/шпоргалки/шпоры,0,Цветные карандаши/цветнойкарандаш,0,Транспортир/транспартир,0,Бумага/бумажка/записка/листок,0,Кисточка/кисть,0,Скотч,0,Закладка/закладки,0,Стикеры/стикер,0,Скрепка,0,Калькулятор,0,,,,
Назовите друга Микки Мауса,0073,Минни маус/маус/мауси/мика/мини/минт/мыш/мышка/мышь,43,Плуто/дог/док/пес/собака,21,Гуфи/гуф,17,Дональд дак/даг/дак/доналд/дональд/дональдак/дональт/утка,12,Пит/кот,4,Дейзи дак/дейзи/дэйзи,3,Скрудж макдак/макдак/скрудж,0,Подручный,0,Поночка/понка,0,Даффи/дафи,0,Чип,0,,,,,,,,,,,,,,,,,,,,,,
Что можно делать со смартфоном?,0045,Играть/игратьвигры/игры/игра,31,Звонить/общаться/разговаривать/говорить/общатся/звонок/позванить,27,Снимать/фото/фоткать/фотографировать/сниматьвидео/фоткаться/селфи/фоткатся/фотографироваться/делатьфото/фотать/сфоткать/фотки/фотографии,14,Смотреть/смотретьвидео/видео/смотретьфильмы/ютуб/смотретьютуб/смотретьфильм/фильмы/кино/видио/фильм,14,Писать/переписываться/смс/печатать/переписыватся/сообщения/отправлять,9,Разбить/ломать/бить,5,Читать,0,Слушать музыку/слушать/музыка,0,Интернет/искать/сидеть/гуглить/сидетьвинтернете,0,Работать,0,Соцсети/тикток/вк,0,Купить/покупать,0,Заряжать/зарядить,0,Рисовать,0,Учиться/учится/учить,0,Скачивать/скачать,0,Кидать/ронять,0,Включить,0,Утопить,0,Продать,0,,,,
Назовите соцсеть,0087,ВК/вконтакте/вка/Vk/века/ве/вэка/кантакт/выка,36,Инстаграм/инста/инст/Instagram,21,Лайк/лаки/Likee/Like/лайкии,15,Ватсап/вацап/вотцап/воцап/Whatsapp,12,Тикток,9,Ютуб,7,Телеграм,0,Вайбер/вибер/Viber,0,Одноклассники/однокласники/ок/однакласники/одноклассникт/однаклассники/однокласникт/однокласснткт/однокласснтки,0,Твиттер/твитер/твитр/твиьер/твиткр/Twitter,0,Фейсбук/фэйсбук/фейсъук/файсбук/фейзбук,0,Снапчат/снепчат/снэпчат,0,Твич,0,Дискорд,0,Скайп,0,Тиндер,0,Пинтерест,0,Баду,0,,,,,,,,
Назовите диснеевскую принцессу,0004,Рапунцель/рапун,23,Золушка,22,Ариэль/русалочка/русалка/ариэлъ,18,Анна,14,Белоснежка,12,Бель/анабель/белла/бэлль/бэлла/анабэль/красавицаичудовище,11,Аврора/спящаякрасавица/красавица/спящая/спящяякрасавица,0,Жасмин,0,Моана/муана/моанна,0,Эльза/ельза/элъза/холодноесердце/эльща,0,Мулан/муан/мулана,0,Тиана/диана/принцесса/лягушка/принцеса/тина/принцессалягушка,0,Фиона,0,София/софияпрекрасная,0,Мерида/мирида,0,Покахонтас/пакахонтас,0,Алиса,0,Ванилопа,0,Елена,0,,,,,,
Назовите музыкальный инструмент,0060,Гитара/акулеле/акулели/окулеле/укулеле/укулели,28,Пианино/раяль/рочль/роялъ/рояль/фортепиано/фортепьяно/фортопиана/фортопиано,24,Скрипка,16,Барабан,13,Флейта,11,Труба,8,Дудка/сопилка,0,Арфа,0,Балалайка,0,Баян/акардион/аккардион/аккордеон/аккордион/бачн/боян/гармонь/гормонь,0,Саксофон/саксафон/сексафон/сексофон/сэксафон,0,Виолончель/веолончель/виаланчель/виалончель/виоланчель,0,Гармошка/гормошка,0,Треугольник/триугольник,0,Гусли,0,Кларнет,0,Орган,0,Ложки/лошки,0,Трамбон/тромбон,0,Синтезатор,0,,,,
Что миллионеры покупают от скуки?,0000,Дом/квартиры/квартира/квартиру/дачи/дача/виллы/дои/вилла/дом/квартиры/дачи/квартира/квартиру/виллы/особняк,29,Машины/машыны/маштна/авто/машины/машыны/машына/авто/тачки,27,Телефон/айфон/планшет/гаджеты/айфоны/телефон/айфон/планшет/гаджеты/айфоны,21,Яхта/яхты/яхту/катер/яхты/яхта/яхту/лодки/лодка/корабли/катер/корабль,8,Еду/еда/продукты/еду/еда,8,Украшения/золото/кольца/украшение/драгоценности/цепи/брилианты/золото/украшения/цепи/кольца/украшение/драгоценности,7,Одежду/вещи/одежда/гучи/аксесуары/одежду/вещи/гучи/аксесуары,0,Обувь/туфли/обувь,0,Самолет/самолеты/самолет/самолеты/самалет,0,Сумки/сумка/сумку/сумки/сумка/сумку,0,Бизнес/магазины/магазин/компании/заводы/завод/магазины/бизнес/магазин/компании/заводы,0,Технику/телевизор/техника/компьютер/ноутбук/комп/телевизор/технику/техника/компьютер/комп/ноутбук,0,Часы/часы,0,Остров/острова/остров/острова,0,Игры/игрушки/игры/игрушки,0,Вертолет/вертолеты/вертолет/вертолеты,0,Акции/акции,0,Мебель/мебель,0,Картины/картины,0,Животных/животных,0,,,,
Назовите занятия$ во время которых хочется спать,0024,Уроки/делатьуроки/домашка/занятия/история/лекции/лекция/литература/математика/русский/учеба/учится/учить/учиться/школа/дз,39,Смотреть/кино/просмотрфильма/смотретьтв/смотретьтелевизор/смотретьфильм/тв/телевизор/фильм/фильмы,15,Играть/игра/игры,13,Чтение/книга/книги/читать,12,Лежать,11,Спать/сон,10,Телефон/игратьвтелефон/сидетьвтелефоне,0,Работа,0,Писать,0,Есть/кушать/еда,0,Музыка/слушать/слушатьмузыку,0,Гулять/бег/бегать/прогулка/ходить,0,Спорт/йога/танцы,0,Пить,0,Рисовать/рисование,0,Уборка,0,Петь/пение,0,Отдых/поездка,0,Секс,0,Скука,0,,,,
Назовите вещи$ которые волшебник заставляет исчезнуть,0016,Кролик/заяц/зайца,31,Вещи/одежда/обувь/плащ,20,Шляпа/шапка,15,Человек/люди/людей/девушка/дети,13,Телефон,12,Еда/яблоко/еду/фрукты,9,Книга/книги,0,Предметы/предмет,0,Голубь/птица/птицы/голуби,0,Карты/карта,0,Машина/машины,0,Платок,0,Цветы/цветок,0,Мебель/стол/шкаф/стул,0,Лягушка/жаба,0,Часы,0,Шарик/шар,0,Кот/кошка,0,Себя,0,Вода,0,,,,
Что есть на пляже?,0076,Море/вода/озеро/океан,32,Галька/песок,25,Зонт/зонтик,16,Лежак/шезлонг/шезлонги/шизлонг/шизлонги,11,Люди/дети,10,Еда/кукуруза/мороженое,6,Камни/камень,0,Солнце/сонце,0,Полотенце/коврик/плед/полотенца,0,Рыбы/акула/акулы/рыба,0,Ракушки/ракушка,0,Кафе/бар/магазин/магазины,0,Одежда/купальник/шляпа/вещи,0,Напитки/пиво/сок,0,Мяч,0,Птицы/чайки,0,Пальмы/пальма,0,Гамак/гамаки,0,Крем,0,Круг/круги,0,,,,
