Di una fruta amarilla,0003,Plátano,34,Limón,26,Manzana/Manzaba/Poma/Manzana amarilla,19,Mango,8,Piña/Pinya,7,Melón,6,Pera,0,Melocotón,0,Naranja/Naranga,0,Papaya/Papalla,0,Kiwi/Quiwi,0,Lima,0,Pomelo,0,Uva/Uba,0,Ciruela/Ciruelo,0,Sandía,0,Albaricoque/Alvaricoque,0,Mandarina,0,Nispero,0,Pimiento,0,Maracuya,0,Membrillo,0
Di un superhéroe,0002,Superman,28,Spiderman/Hombre araña/Spider,23,Batman,19,Iron Man,12,Hulk,10,Capitán América/Capitan man/Capitan/America,8,Thor,0,Wonder Woman/Mujer maravilla/Woman/La mujer maravilla/Wonder,0,Flash/Flas/Flahs/Flax,0,Catwoman/Catwomen,0,Aquaman/Acuaman,0,Linterna Verde,0,Viuda Negra/La viuda negra/Black widow,0,Robin,0,Supergirl,0,Black Panther/Black panter/Pantera negra/Blak panter,0,Antman,0,Joker,0,Deadpool,0,Ladybug,0,Super Lopez,0,Venom,0
Di una bebida del desayuno,0070,Jugo/Zumo/Zumo de naranja/Zumo de piña/Naranja/Zumo de manzana/Zumo de limón/Zumo de melocoton/Manzana/Fruta/Zumo manzana/Zumo de pera/Zumo piña,27,Leche/Actimel,20,Colacao/Nesquik/Chocolate/Neskuik/Cacaolat/Nescuik/Nesquick/Neskui/Chocolate caliente/Neskik/Nesqui/Batido de chocolate/Nescuic/Neskuic/Nescui/Neskuit/Neski/Leche con colacao/Nesquic/Cacaulat,19,Café/Café con leche/Descafeinado/Capuchino/Cortado/Capuccino,18,Agua,10,Té/Manzanilla/Tila/Te verde,6,Batido/Batido de fresa,0,Refresco/Cocacola/Fanta/Pepsi/Cola/Coca,0,Limonada,0,Infusión,0,Yogur/Yogurt,0,Cereales,0,Horchata/Orchata,0,Nestea/Nesti,0,Cerveza,0,Vino,0,Avena,0,Soja,0,Mate,0,,,,,,
Di un medio de transporte,0049,Coche/Taxi/Furgoneta/Uber/Auto/Limusina/Carro/Cotxe/Coxe/Ferrari/Car/Cabify/Cohce/Automovil/Choce,32,Autobus/Bus/Camion/Guagua/Autocar,17,Tren/Tranvia/Renfe/Tranbia/Trambia/Trenvia/Tram/Tramvia/Ferrocarril/Via/Topo,16,Avión/Avioneta,14,Moto/Motocicleta/Cuat,12,Bicicleta/Bici/Triciclo/Biciclet/Vicicleta/Barci,9,Metro,0,Patín/Patinete/Patines/Monopatin/Skate/Patineta/Patin electrico/Patinete electrico,0,Barco/Varco/Lancha/Yate/Barca/Crucero,0,Helicóptero/Elicoptero,0,Caminar/Correr/Andar/Andando/Pie/A pie,0,Caravana/Carabana/Camioneta/Furgo,0,Tractor,0,Caballo,0,Submarino,0,Globo,0,Cohete,0,Ambulancia,0,,,,,,,,
Di algo que nunca te olvidas al salir de casa,0071,Llaves/Las llaves,24,Móvil/Telefono,24,Cartera/Monedero/Billetera,14,Bolso,13,Mascarilla/Maquillaje/Pintalabios,13,Rpa/Chaqueta/Abrigo/Pantalones/Pantalon/Camiseta/Calcetines/Camisa/Ropa interior/Bragas/La mochila/Maleta/Calzoncillos/Chaceta,12,Zapatos/Zapatillas/Calzado/Tenis/Los zapatos,0,Dinero,0,Gafas,0,Mochila,0,Gorra/Gorro/Cascos/Sombrero,0,Agua,0,Comida,0,Coche,0,Dni/Carnet,0,Reloj,0,Tarjeta/Targeta,0,Pañuelos,0,Gel,0,Paraguas,0,,,,
Di un sitio en el que puedas nadar,0056,Mar/Playa/Plalla/Mat/Mr/Mae,32,Piscina/Piscin/Alberca/Pileta/Tanque,25,Lago/Estanque/Laguna/Charco/Charca,16,Río/Riachuelo/Ria/Arroyo/Rii/Tio/Ruo,15,Bañera/Ducha/Baño,10,Agua,2,Océano,0,Pantano,0,Jacuzzi/Yacusi/Llacusi/Jacuzi/Jacusi/Yacuzzi/Yacuzi,0,Fuente,0,Parque/Parque acuatico/Polideportivo,0,Natación,0,Pozo/Poza,0,Cascada,0,Casa,0,Spa,0,Calle,0,Acuario,0,Isla,0,Presa,0,,,,
¿Qué hay en los estuches?,0054,Lapiz/Lapices,29,Goma/Borrador/Borra/Borragoma/Goma de borrar/Borador/Borradores/Bora,24,Rotuladores/Rotulador/Rotus/Subrayador/Retuladores/Retulador/Subrayadores/Marcador/Subrallador/Marcadores/Subralladores/Rotulafor/Permanente/Rotulafores/Rotuldor/Subrrayador,15,Boli/Boligrafo/Pluma/Voligrafo,14,Sacapuntas/Afilador/Afila/Afilalapiz/Saca,10,Colores/Lapices de colores/Lapizes de colores/Lapiz de color/Lapiz de colores,8,Tipex/Corrector,0,Regla,0,Pinturas/Pinturad/Pinturs,0,Pegamento/Cola/Pega,0,Portaminas/Minas,0,Compás,0,Clip,0,Maquineta,0,Papel/Papeles,0,Notas/Posit,0,Calculadora,0,Pincel,0,Dinero,0,Grapadora,0,,,,
Di el nombre de un amigo de Mickey Mouse,0073,Minnie Mouse/Mini/Miny/Minni/Mini mouse/Minny/Miney/Minie mouse/Mini mause/Mini maus/Minney/Miny mouse/Minni mouse/Miney mouse,25,Pluto,20,Goofy/Gufi/Guffy/Goofie/Gofie/Goffi/Goffie/Golf,20,Donald/Pato donal/Pato/Pato donald/Donld/Pato lucas/El pato donal,17,Daisy/Deisi/Daysi/Deysi/Deysy/Dayse/Deise/Desy/Desi/Disi/Dasi/Deisie/Daysie,17,Pete/Pata/Pit/Peter,1,Gilito/Tio gilito,0,Lucas,0,Chip Y Chop/Chip,0,Clarabel/Vaca,0,Rudolf,0,Piolín,0,Pepe,0,Bufy,0,Lola,0,,,,,,,,,,,,,,
¿Qué puedes hacer con un smartphone?,0045,Llamar/Hablar/Llamr/Videollamada,31,Jugar/Juegos,18,Fotos/Hacer fotos/Camara/Sacar fotos/Selfies,15,Escribir/Chatear/Mensajes/Chat/Mandar mensajes/Enviar mensajes/Sms/Whatsapp/Wasap/Enviar,15,Videos/Ver videos/Grabar/Gravar,14,Redes Sociales/Tik tok/Youtube/Instagram/Redes/Facebook/Ver youtube/Ver tik tok,7,Internet/Ver/Navegar/Google/Mirar/Buscar informacion/Gogle/Informacion,0,Música/Escuchar/Musica/Audios,0,Buscar,0,Leer,0,Descargar/Apps/Instalar/Aplicaciones,0,Hora/Ver la hora/Reloj/Tiempo/Mirar la hora,0,Comprar/Pagar,0,Dibujar/Pintar,0,Estudiar/Aprender,0,Correo/Email,0,Trabajar,0,Bailar,0,Calcular,0,Cantar,0,,,,
Di el nombre de una plataforma de redes sociales,0087,Instagram/Insta,32,Tik Tok/Tictoc/Tik,20,Twiter/Twit,17,Whatsapp/Wasap/Guasap/Was/Whats,13,Youtube/Yt,9,Snapchat/Snap,9,Facebook/Face/Feisbook,0,Twitch/Twich/Tuich/Tich/Twicht/Tiwch,0,Telegram/Telegran,0,Tinder,0,Messenger/Mesenger/Mensajes,0,Pinterest/Pinteres,0,Badoo,0,Roblox,0,Discord,0,Linkedin,0,Hangouts,0,Tumblr,0,,,,,,,,
